year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
1978,1,4,1,1,1689,1859,0,True,False,True,True,42670,Lopez Crossing,,Navi Mumbai,10907,270897
1958,1,3,1,1,1984,2002,0,True,False,True,True,5194,Gardner Park,,Navi Mumbai,10907,302404
2002,1,3,2,0,1581,1578,625,False,False,True,True,4366,Harding Islands,,Thane,11203,2519996
2004,1,4,2,0,1829,2277,0,True,False,True,True,3302,Michelle Highway,,Thane,11203,197193
2006,1,4,2,0,1580,1749,0,True,False,True,True,582,Jacob Cape,,Thane,11203,207897
2005,1,3,2,0,1621,1672,0,True,False,True,True,78445,Michelle Highway,,Thane,11203,196559
1979,1,3,2,1,2285,2365,0,True,False,True,True,246,Harris Estates,,Pune,10924,434697
1958,1,5,2,0,1745,1741,0,False,False,False,False,35725,Jessica Isle,,Mumbai,11203,64887
1958,1,5,2,0,1747,1745,0,False,False,False,False,35725,Jessica Isle,,Mumbai,11203,143636
1961,1,1,1,0,998,1161,242,False,False,False,False,73327,Kurt Crescent,,Mumbai,11203,81896
2005,1,4,4,0,2020,2254,0,True,False,True,True,3522,Dana Bridge,,Mumbai,11203,308701
2006,1,4,2,1,2517,2679,0,True,False,True,True,1956,Perez Mount,,Mumbai,11203,333904
2003,1,3,1,1,1835,2000,0,True,False,True,True,829,Candice Skyway,,Mumbai,11203,277197
2004,1,4,2,1,2112,2197,0,True,True,True,True,55409,Wright Mills,,Mumbai,11203,351537
2007,1,3,3,0,2174,2426,0,True,False,True,True,867,Reyes Radial,,Mumbai,11203,274681
2007,1,3,3,0,2169,2434,0,True,False,True,True,719,James Motorway,,Mumbai,11203,289801
1993,1,3,2,0,1646,1648,0,True,True,True,True,760,Chris Vista,,Mumbai,11203,225538
1973,1,2,1,0,835,865,0,False,False,True,True,45691,Steven Hollow,1063,Mumbai,11203,56698
1989,1,3,2,0,2191,2188,0,True,False,True,True,96285,James Isle,,Mumbai,11203,277197
1972,1,2,1,1,1837,2460,0,True,False,True,True,70518,Charles Plain,,Mumbai,11203,144901
1990,1,2,2,0,1689,2193,0,True,True,True,True,99496,Baldwin Centers,,Mumbai,11203,204746
2003,1,3,2,0,2053,2460,0,True,False,True,True,2923,Steven Hollow,,Mumbai,11549,281614
1992,1,3,1,1,1636,2330,0,True,False,True,True,50223,Warner Underpass,,Mumbai,11203,233103
1979,1,3,2,1,1908,1912,0,True,False,True,True,9025,Kristen Inlet,,Mumbai,11203,239396
2007,1,2,2,0,1311,1694,0,True,False,True,True,397,Cox Way,,Nashik,10748,311217
2005,1,3,3,0,1703,2111,0,True,False,True,True,819,Chapman Crescent,,Nashik,10748,434697
2000,2,2,3,0,1670,1830,0,True,False,True,True,313,Jacob Spring,,Nashik,10748,1140298
2005,1,5,5,0,5478,7433,0,True,True,True,True,3723,Williams Vista,,Ahmednagar,11619,3213004
2003,1,3,2,1,4078,5034,0,True,True,True,True,967,Anthony Crest,,Kolhapur,10748,1354501
1986,1,2,2,0,1390,1642,0,True,False,True,True,155,Robin Passage,,Kolhapur,10748,491401
1973,1,2,2,1,2195,3352,0,False,False,True,True,5518,Scott Road,,Kolhapur,10748,321298
1973,1,2,2,1,2205,3264,0,False,False,True,True,8466,Scott Road,,Kolhapur,10748,466199
1981,1,2,2,0,1395,1641,0,True,False,True,True,6825,Gary Pine,,Kolhapur,10748,378002
1986,1,2,2,0,1393,1637,0,True,False,True,True,9620,Rodgers Square,,Kolhapur,10748,378004
1983,2,2,2,1,1742,1893,0,True,False,True,True,89,Travis Inlet,,Kolhapur,10748,422103
2006,1,4,4,1,5980,7330,0,True,True,True,True,5264,James Islands,,Ahmednagar,11619,3433500
1990,1,3,2,0,1327,1483,0,False,False,False,True,7339,Matthew Plains,,Mumbai,11549,157501
2006,1,4,2,1,1893,1905,0,True,False,True,True,7953,Roy Lock,,Mumbai,11549,245698
2005,1,3,2,1,1889,1888,0,True,True,True,True,4232,Parker Shores,,Mumbai,11549,315003
1993,1,3,2,0,1098,2137,0,False,False,True,True,5691,Wiggins Isle,,Mumbai,11203,146159
1991,1,3,1,0,997,994,0,False,False,False,False,8,Stone Points,,Mumbai,11203,144903
1989,1,3,1,0,1031,1031,0,False,False,True,True,521,Anthony Mountains,,Mumbai,11203,126001
1953,1,1,0,1,327,505,0,False,False,False,False,522,Schultz Radial,,Mumbai,11203,352804
1958,1,2,2,0,1455,1856,213,False,False,False,False,522,Schultz Radial,,Mumbai,11203,352799
1958,1,3,1,0,1487,1905,0,False,False,False,False,522,Schultz Radial,,Mumbai,11203,352800
1968,1,2,2,0,1387,2557,624,False,False,True,True,522,Schultz Radial,,Mumbai,11203,352800
2006,1,3,2,0,2088,2436,0,True,False,True,True,222,Taylor Mills,,Mumbai,11203,233097
2005,1,3,2,0,1898,2139,0,True,False,True,True,1945,Dylan Port,,Mumbai,11203,270901
1991,1,2,2,0,1242,1250,832,False,False,True,True,7125,Sanders Inlet,3882,Mumbai,11203,42840
2005,1,3,2,1,2744,3015,0,True,True,True,True,6000,Angela Harbor,,Mumbai,11203,459898
1955,1,1,0,1,813,980,0,False,False,False,False,624,William Valley,,Mumbai,11203,126001
2008,1,4,3,0,2395,2516,0,True,False,True,True,136,Patricia Crescent,,Mumbai,11203,239401
1960,1,2,2,0,2190,3046,319,True,False,False,False,45384,Anthony Mountains,,Mumbai,11203,100803
1980,2,2,1,1,1423,1531,0,True,True,True,True,5837,Samantha Park,,Thane,11980,362252
1978,1,2,2,0,1419,2004,0,False,False,True,True,3323,Samantha Park,,Thane,11980,522899
1978,1,2,2,0,1623,2567,0,True,False,True,True,997,Shawn Tunnel,,Thane,11980,932401
1975,1,2,1,1,1163,1530,257,False,False,True,True,600,Randall Divide,,Thane,11980,308703
1976,1,2,2,0,1251,1806,379,False,False,True,True,3576,Erica Stravenue,,Thane,11980,367919
1975,2,2,2,1,1853,2143,241,False,False,True,True,28870,Webb Burg,,Thane,11980,351540
1975,2,2,2,1,1858,2141,243,False,False,True,True,73102,Cook Islands,,Thane,11980,378002
1999,1,4,3,1,4434,4651,0,True,True,True,True,81660,Robinson Summit,,Thane,11980,1669497
1982,1,2,1,1,1280,1530,338,False,False,True,True,37116,Rebecca Manor,,Thane,11980,269640
